id,dapil_id,lokasi_id,created_at,updated_at
1,1,3273010,,
2,1,3273020,,
3,1,3273030,,
4,1,3273040,,
5,1,3273050,,
6,2,3273060,,
7,2,3273070,,
8,2,3273080,,
9,2,3273090,,
32,8,3201,,
33,8,3202,,
34,8,3203,,
35,9,3204,,
36,9,3205,,
37,9,3206,,
38,10,3207,,
39,10,3208,,
40,10,3209,,
41,11,3210,,
10,2,3273100,,
11,3,3273101,,
42,11,3211,,
12,3,3273110,,
13,3,3273111,,
43,11,3212,,
15,3,3273121,,
16,4,3273130,,
17,4,3273141,,
18,4,3273142,,
19,4,3273150,,
20,4,3273160,,
21,5,3273170,,
22,5,3273180,,
23,5,3273190,,
24,5,3273200,,
25,5,3273210,,
26,6,3273220,,
27,6,3273230,,
28,6,3273240,,
29,6,3273250,,
14,3,3273120,,
30,6,3273260,,
31,7,3273,,
44,12,3213,,
45,12,3214,,
46,12,3215,,
47,13,3216,,
48,13,3217,,
49,13,3218,,
50,14,3271,,
51,14,3272,,
52,14,3273,,
53,15,3274,,
54,15,3275,,
55,15,3276,,
56,16,3277,,
57,16,3278,,
58,16,3279,,
59,17,32,,