id,id_kabkota,id_provinsi,nama
110101,1101,11,"KECAMATAN ALAPAN/ALAFAN"
110102,1101,11,"KECAMATAN SALANG"
110103,1101,11,"KECAMATAN SIMEULUE BARAT"
110104,1101,11,"KECAMATAN SIMEULUE TENGAH"
110105,1101,11,"KECAMATAN SIMEULUE TIMUR"
110106,1101,11,"KECAMATAN TELUK DALAM"
110107,1101,11,"KECAMATAN TEUPAH BARAT"
110108,1101,11,"KECAMATAN TEUPAH SELATAN"
110201,1101,11,"KECAMATAN PULAU BANYAK"
110202,1101,11,"KECAMATAN PULAU BANYAK BARAT"
110203,1101,11,"KECAMATAN KUALA BARU"
110204,1101,11,"KECAMATAN SINGKIL"
110205,1101,11,"KECAMATAN SINGKIL UTARA"
110206,1101,11,"KECAMATAN GUNUNG MERIAH"
110207,1101,11,"KECAMATAN SIMPANG KANAN"
110208,1101,11,"KECAMATAN DANAU PARIS"
110209,1101,11,"KECAMATAN SURO"
1102010,1101,11,"KECAMATAN SINGKOHOR"
1102011,1101,11,"KECAMATAN KUTA BAHARU"